web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1662023695-433,"Sunnenbergstrasse 15, 8633 Wolfhausen, ZH",2022-09-07 09:00:00,3.5,122,1,26.07,47.255714416503906,8.804975509643555
1662023745-820,"Lavaterstr. 63, 8002 Zürich, ZH",2022-09-07 09:00:00,2.5,78,0,48.21,47.36137771606445,8.53333854675293
1662023742-807,"Langfurrenstrasse 5c, 8623 Wetzikon ZH, ZH",2022-09-07 09:00:00,5.5,115,0,24.87,47.32863235473633,8.810400009155273
1662023804-1290,"Sandbuckweg 5A, 8157 Dielsdorf, ZH",2022-09-07 09:00:00,3.5,74,0,29.26,47.47749328613281,8.456284523010254
1662023739-771,"Parkring 59, 8002 Zürich, ZH",2022-09-07 09:00:00,5.5,195,1,35.38,47.36689758300781,8.528817176818848
1662023707-544,"Ifangweg 1, 8610 Uster, ZH",2022-09-07 09:00:00,2.0,47,0,29.79,47.35888671875,8.71379566192627
1662023720-640,"Flobotstrasse 2, 8044 Zürich, ZH",2022-09-07 09:00:00,2.5,59,0,49.49,47.37957763671875,8.570284843444824
1662023686-384,"Hinterbergstrasse 57, 8044 Zürich, ZH",2022-09-07 09:00:00,3.0,75,0,40.04,47.382015228271484,8.556857109069824
1662023758-929,"Frohbergstr. 7, 8162 Steinmaur, ZH",2022-09-07 09:00:00,4.5,97,0,18.25,47.48908615112305,8.448234558105469
1662023727-685,"8306 Brüttisellen, ZH",2022-09-07 09:00:00,4.5,124,0,35.97,47.42464065551758,8.63316535949707
1662023755-900,"8620 Wetzikon ZH, ZH",2022-09-07 09:00:00,3.5,123,1,27.24,47.31372833251953,8.828516006469727
1662023733-725,"Wülflingerstrasse 48, 8400 Winterthur, ZH",2022-09-07 09:00:00,2.5,55,0,27.09,47.506534576416016,8.714888572692871
1662023720-644,"Burstwiesenstr. 16, 8606 Greifensee, ZH",2022-09-07 09:00:00,4.0,80,0,24.56,47.36891555786133,8.680346488952637
1662023789-1164,"Nansenstrasse 7, 8050 Zürich, ZH",2022-09-07 09:00:00,2.5,58,0,30.69,47.410762786865234,8.545214653015137
1662023739-782,"Bergacherstrasse 4, 8630 Rüti ZH, ZH",2022-09-07 09:00:00,1.0,34,0,25.0,47.250694274902344,8.85564136505127
1662023707-540,"Aronenweg 9, 8618 Oetwil am See, ZH",2022-09-07 09:00:00,3.5,78,0,21.54,47.276031494140625,8.718671798706055
1662023707-538,"Pilatusstrasse 14, 8330 Pfäffikon ZH, ZH",2022-09-07 09:00:00,2.5,75,0,26.13,47.364253997802734,8.783860206604004
1662023730-704,"Dorfstrasse 84, 8954 Geroldswil, ZH",2022-09-07 09:00:00,4.5,100,0,18.8,47.42408752441406,8.411906242370605
1662023771-1023,"Soodstrasse 13, 8134 Adliswil, ZH",2022-09-07 09:00:00,4.0,90,0,22.56,47.313804626464844,8.526074409484863
1662023767-998,"Steinmürlistrasse 42, 8953 Dietikon, ZH",2022-09-07 09:00:00,3.5,81,0,23.46,47.40464401245117,8.392952919006348
1662023793-1200,"Obere Leihofstrasse 13, 8820 Wädenswil, ZH",2022-09-07 09:00:00,3.5,75,0,28.33,47.22357177734375,8.666900634765625
1662023692-420,"Zürcherstrasse 10, 8193 Eglisau, ZH",2022-09-07 09:00:00,2.5,58,0,26.55,47.57310104370117,8.523083686828613
1662023764-980,"Wehntalerstrasse 223, 8057 Zürich, ZH",2022-09-07 09:00:00,3.0,52,0,30.77,47.40802001953125,8.529781341552734
1662023711-561,"Schulstrasse 26a, 8330 Pfäffikon ZH, ZH",2022-09-07 09:00:00,1.0,19,0,57.89,47.36679458618164,8.781128883361816
1662023720-634,"Blumenbergstrasse 7, 8633 Wolfhausen, ZH",2022-09-07 09:00:00,4.0,87,0,19.43,47.254878997802734,8.793745994567871
1662023730-701,"Pfruendmattstrasse 11, 8932 Mettmenstetten, ZH",2022-09-07 09:00:00,3.5,89,0,23.37,47.24324035644531,8.465059280395508
1662023767-1007,"Baumackerstrasse 47, 8050 Zürich, ZH",2022-09-07 09:00:00,1.0,15,0,82.67,47.40944290161133,8.542278289794922
1662023698-474,"Goethestr. 26, 8712 Stäfa, ZH",2022-09-07 09:00:00,2.5,58,1,32.24,47.240726470947266,8.724349021911621
1662023807-1298,"Grünaustrasse 12, 8953 Dietikon, ZH",2022-09-07 09:00:00,3.5,92,0,26.52,47.4099235534668,8.403440475463867
1662023786-1135,"Unterbühlenstr. 3B, 8610 Uster, ZH",2022-09-07 09:00:00,3.5,72,0,23.47,47.344234466552734,8.707965850830078
1662023704-520,"Zwischenbächen 139, 8048 Zürich, ZH",2022-09-07 09:00:00,1.5,35,0,53.43,47.380489349365234,8.4798002243042
1662023780-1100,"Hauflandweg 18, 8605 Gutenswil, ZH",2022-09-07 09:00:00,3.5,70,0,22.09,47.38703155517578,8.718835830688477
1662023764-971,"Ifangweg 8, 8610 Uster, ZH",2022-09-07 09:00:00,3.0,68,0,19.34,47.35796356201172,8.714289665222168
1662023733-731,"St. Gallerstrasse 42d, 8400 Winterthur, ZH",2022-09-07 09:00:00,3.5,86,0,28.14,47.49749755859375,8.738823890686035
1662023777-1057,"Wartstr. 28, 8400 Winterthur, ZH",2022-09-07 09:00:00,1.0,26,0,44.04,47.50136184692383,8.720966339111328
1662023752-875,"Brunnenrain 18, 8415 Berg am Irchel, ZH",2022-09-07 09:00:00,3.5,97,0,18.09,47.5706901550293,8.596415519714355
1662023689-402,"Dorfstrasse 31, 8196 Wil ZH, ZH",2022-09-07 09:00:00,4.5,109,0,21.83,47.60468292236328,8.508256912231445
1662023698-468,"Hallwylstrasse 84, 8004 Zürich, ZH",2022-09-07 09:00:00,2.5,75,0,43.2,47.369815826416016,8.526166915893555
1662023692-429,"Im Riet 14, 8427 Freienstein, ZH",2022-09-07 09:00:00,4.5,91,0,19.23,47.53696060180664,8.580428123474121
1662023711-553,"8192 Glattfelden, ZH",2022-09-07 09:00:00,3.5,88,0,21.25,47.56193923950195,8.499773979187012
1662023801-1250,"Ankerstr. 114 / Müllerstr. 71, 8004 Zürich, ZH",2022-09-07 09:00:00,2.0,87,0,61.49,,
1662023777-1079,"Seestrasse 65, 8810 Horgen, ZH",2022-09-07 09:00:00,4.5,114,0,25.53,47.264278411865234,8.589810371398926
1662023789-1172,"Pfingstweidstrasse 104 E, 8005 Zürich, ZH",2022-09-07 09:00:00,2.0,80,1,34.88,47.39086151123047,8.509053230285645
1662023752-867,"Altwiesenstrasse 346, 8051 Zürich, ZH",2022-09-07 09:00:00,3.5,76,0,26.18,47.399959564208984,8.590506553649902
1662023736-766,"Steigstr. 3, 8610 Uster, ZH",2022-09-07 09:00:00,4.5,106,0,25.19,47.34431076049805,8.730061531066895
1662023727-691,"8330 Pfäffikon ZH, ZH",2022-09-07 09:00:00,3.5,91,0,23.02,47.364013671875,8.782011032104492
1662023692-417,"Bärenweidstrasse 12, 8833 Samstagern, ZH",2022-09-07 09:00:00,3.5,74,0,23.18,47.193599700927734,8.679973602294922
1662023686-376,"Obermülistrasse 39, 8320 Fehraltorf, ZH",2022-09-07 09:00:00,4.5,111,0,17.84,47.38801956176758,8.747424125671387
1662023801-1269,"Büelstrasse 1, 8132 Egg b. Zürich, ZH",2022-09-07 09:00:00,3.5,109,0,24.68,47.303279876708984,8.68857479095459
1662023777-1065,"Boulevard Lilienthal 5, 8152 Opfikon, ZH",2022-09-07 09:00:00,2.5,46,0,35.43,47.42422866821289,8.562675476074219
1662023736-767,"Frohburgweg 5, 8180 Bülach, ZH",2022-09-07 09:00:00,4.5,94,0,21.38,47.52424621582031,8.539907455444336
1662023761-945,"Badenerstrasse 250, 8004 Zürich, ZH",2022-09-07 09:00:00,1.5,25,0,84.0,47.3759880065918,8.516037940979004
1662023704-506,"Pfarrhausstrasse 18a, 8344 Bäretswil, ZH",2022-09-07 09:00:00,2.0,110,1,19.55,47.337013244628906,8.853507041931152
1662023730-706,"8810 Horgen, ZH",2022-09-07 09:00:00,2.5,50,0,39.6,47.2366828918457,8.618281364440918
1662023774-1056,"Schöntalstrasse 27, 8004 Zürich, ZH",2022-09-07 09:00:00,2.5,48,0,66.46,47.37080764770508,8.526028633117676
1662023692-427,"8421 Dättlikon, ZH",2022-09-07 09:00:00,4.5,130,0,22.46,47.52411651611328,8.624934196472168
1662023686-363,"Pappelstr. 22, 8305 Dietlikon, ZH",2022-09-07 09:00:00,3.5,85,0,21.44,47.41817855834961,8.62304973602295
1662023736-763,"Riedmühlestr. 7b, 8305 Dietlikon, ZH",2022-09-07 09:00:00,4.5,102,0,28.43,47.426753997802734,8.621732711791992
1662023720-641,"Sandgruebstrasse 9, 8193 Eglisau, ZH",2022-09-07 09:00:00,4.5,128,0,17.54,47.56932067871094,8.523771286010742
1662023761-941,"Am Wasser 161, 8049 Zürich, ZH",2022-09-07 09:00:00,1.5,32,0,65.62,47.399436950683594,8.495816230773926
1662023786-1149,"Freudenbergstrasse 94, 8044 Zürich, ZH",2022-09-07 09:00:00,4.5,128,0,51.8,47.384132385253906,8.55653190612793
1662023692-418,"Zürcherstrasse 10, 8193 Eglisau, ZH",2022-09-07 09:00:00,3.5,83,0,23.37,47.57310104370117,8.523083686828613
1662023755-909,"Lavaterstr. 63, 8002 Zürich, ZH",2022-09-07 09:00:00,2.5,79,0,44.3,47.36137771606445,8.53333854675293
1662023804-1278,"Altburgstr. 19, 8105 Regensdorf, ZH",2022-09-07 09:00:00,4.5,106,0,24.53,47.42815399169922,8.47533893585205
1662023720-629,"Allmendstrasse 29, 8180 Bülach, ZH",2022-09-07 09:00:00,3.5,85,0,26.12,47.514713287353516,8.533659934997559
1662023804-1294,"Unterdorfstrasse 1,, 8113 Boppelsen, ZH",2022-09-07 09:00:00,3.0,130,0,14.92,47.470767974853516,8.401324272155762
1662023714-590,"Meientalstrasse 65, 8048 Zürich, ZH",2022-09-07 09:00:00,2.5,82,0,35.06,47.385841369628906,8.478418350219727
1662023730-707,"Walderstrasse 103, 8630 Rüti ZH, ZH",2022-09-07 09:00:00,3.5,78,0,22.56,47.26651382446289,8.867326736450195
1662023736-746,"Landvogt-Waser-Strasse 67, 8405 Winterthur, ZH",2022-09-07 09:00:00,2.5,62,0,24.19,47.48586654663086,8.765941619873047
1662023810-1341,"Stallikonerstr. 107, 8903 Birmensdorf ZH, ZH",2022-09-07 09:00:00,4.5,98,0,20.61,47.35337448120117,8.460884094238281
1662023717-621,"Unter-Rüti 2, 8487 Zell ZH, ZH",2022-09-07 09:00:00,3.5,80,0,23.12,47.444488525390625,8.816344261169434
1662023798-1227,"Lindenstrasse 34, 8155 Niederhasli, ZH",2022-09-07 09:00:00,3.5,88,0,18.86,47.48217010498047,8.489461898803711
1662023761-955,"Alte Landstrasse 99, 8804 Au ZH, ZH",2022-09-07 09:00:00,3.5,75,0,27.0,47.247032165527344,8.634622573852539
1662023793-1198,"Poststr. 3, 8610 Uster, ZH",2022-09-07 09:00:00,4.5,132,0,22.58,47.34947967529297,8.718282699584961
1662023742-806,"Dufaux-Strasse 47, 8152 Opfikon, ZH",2022-09-07 09:00:00,4.5,115,0,46.09,47.42148971557617,8.561450958251953
1662023813-1353,"Rechweg 14, 8600 Dübendorf, ZH",2022-09-07 09:00:00,2.5,95,1,29.37,47.400672912597656,8.62859058380127
1662023801-1270,"Affolternstrasse 154, 8050 Zürich, ZH",2022-09-07 09:00:00,5.5,195,1,21.54,47.4113655090332,8.532044410705566
1662023739-784,"Wingertlistrasse 9, 8405 Winterthur, ZH",2022-09-07 09:00:00,3.5,70,0,24.14,47.49017333984375,8.761757850646973
